,Station Address,Latitude,Longitude,NomStation,CodeStation
20,60-64 Uxbridge Road Ealing W13 8RA,51.512079549999996,-0.31394024199565373,EALING,G25
21,325 Woolwich Road London Greenwich SE7 7RF,51.48700475,0.02212360000000082,EAST GREENWICH,E23
22,210 High Street South Newham E6 3RS,51.5236416,0.057491,EAST HAM,F44
23,99 Church Street Enfield N9 9AA,51.627217,-0.06912,EDMONTON,A34
24,226 Eltham High Street Greenwich SE9 1BA,51.450737,0.0625979,ELTHAM,E30
25,93 Carterhatch Lane Enfield EN1 4LA,51.6603185,-0.0504905,ENFIELD,A35
26,52 Erith Road Belvedere Kent Bexley DA17 6HR,51.4855555,0.1564855,ERITH,E27
27,172 Euston Road Camden NW1 2DH,51.5274611,-0.1305457,EUSTON,A23
28,101 Faggs Road Hounslow TW14 0LH,51.4607757,-0.4135382,FELTHAM,G39
29,227 Long Lane Barnet N3 2RP,51.5965622,-0.1785676,FINCHLEY,A39
30,155 Stanstead Road Lewisham SE23 1HP,51.4422538,-0.0441424,FOREST HILL,E31
31,685 Fulham Road Hammersmith & Fulham SW6 5UJ,51.4779046,-0.20094573775510435,FULHAM,G35
32,4 Blisset Street Greenwich SE10 8UP,51.4740289,-0.0136479,GREENWICH,E22
33,386-388 New North Road Redbridge IG6 3DY,51.6056216,0.1005676,HAINAULT,F37
34,190-192 Shepherds Bush Road Hammersmith & Fulham W6 7NL,51.4962862,-0.2237971,HAMMERSMITH,G36
35,"Units 7-9 Falcon Business Centre, Ashton Road, Romford Havering RM3 8UR",51.5983695,0.2235268,HAROLD HILL,F57
36,500 Pinner Road Harrow HA5 5RW,51.5906018,-0.3672044,HARROW,G21
37,65 Shepiston Lane Hillingdon UB3 1LL,51.494375,-0.4348383,HAYES,G40
38,"Building 450, Heathrow Airport Northern Perimeter Road Hillingdon TW6 2RR",51.480169,-0.4589328,HEATHROW,G56
39,"91 The Burroughs, Hendon Barnet NW4 4BL",51.5883045,-0.2286063,HENDON,A40
40,520 London Road Isleworth Middlesex Hounslow TW7 4HR,51.4750036,-0.3432338,HESTON,G38
41,Uxbridge Road Hillingdon UB10 0PH,51.5316106,-0.4503894,HILLINGDON,G23
42,262-268 Hornsey Road Islington N7 7QT,51.5602929,-0.1151504,HOLLOWAY,A31
43,97 Homerton High Street Hackney E9 6DL,51.5485062,-0.0428443,HOMERTON,F28
44,42 North Street Havering RM11 1SH,51.564511350000004,0.22058029412067592,HORNCHURCH,F39
45,108 Park Avenue South Haringey N8 8LS,51.5862593,-0.1276672,HORNSEY,A32
